AACHEN,Aachen
AKMNSUF,Akeman Street UK Fertilisers
ALBNYPK,Albany Park
ALBNFCL,Albany Park Footscray Lane
ALBNHRC,Albany Park Hurst Road
ALBNHV,Albany Park Hurst Road/Valentine Avenue
ALBION,Albion Ground Frame
ALBRGHT,Albrighton
ALBURGH,Aldeburgh
ALDEDGE,Alderley Edge
ALDEDNS,Alderley Edge Down Siding
ALDEUPS,Alderley Edge Up Siding
ALDMSTN,Aldermaston
ALDMCE,Aldermaston Civil Engineer's Tip
ALDMSPS,Aldermaston Padworth Sidings
ALDM810,Aldermaston Signal R810
ALDB337,Aldersbrook Signal L337/L354
ALDBUCS,Aldersbrook Up Carriage Holding Sidings
ALDRSHT,Aldershot
ALDRSGS,Aldershot Government Sidings
ALDRSJN,Aldershot North Junction
ALDRSPS,Aldershot Park Siding
ALDRS15,Aldershot Signal AS15
ALDRS16,Aldershot Signal AS16
ALDRSSB,Aldershot Signal Box
ALDR371,Aldershot Signal WK1371
ALDR378,Aldershot Signal WK1378
ALDRSJS,Aldershot South Junction
ALDGTLT,Aldgate
ALDGEST,Aldgate East
ADRG438,Aldridge Signal WR1438
ADRG439,Aldridge Signal WR1439
ALDTON,Aldrington
ALDWRKJ,Aldwarke Junction
ALDWGBF,Aldwarke Junction GB Railfreight
ALDW738,Aldwarke Junction Signal S738
ALDW077,Aldwarke Junction Signal S1077
ALDWLOS,Aldwarke Limit Of Shunt
ALDWRS,Aldwarke Repair Sidings
ALDWRML,Aldwarke Roundwood BSC 11″ Mill
ALDW721,Aldwarke Signal S721
ALDW109,Aldwarke Signal S1092
ALDWNWS,Aldwarke UES
ALXN440,Alexandra Dock Junction Signal N440
ALXNJTC,Alexandra Dock Junction Terminal Complex
ALXNLHS,Alexandra Dock Junction Yard Locomotive Holding Siding
ALXNDCK,Alexandra Dock (Liverpool)
ALXNUDG,Alexandra Dock Up And Down Goods
ALEXNDP,Alexandra Palace
ALEXPSS,Alexandra Palace Sand Siding
ALEX176,Alexandra Palace Signal K176
ALEX476,Alexandra Palace Signal K476
ALEXPTS,Alexandra Palace Tunnel Sidings
ALXPD,Alexandra Parade
ALXANDR,Alexandria
ALFRETN,Alfreton & Mansfield Parkway
ALFREMD,Alfreton East Midlands Designer Outlet Village
ALLENSW,Allens West
ALLEURL,Allens West Urlay Nook Crossover
ALERTN,Allertonsee also Liverpool South Parkway High Level
ALERTNS,Allerton Diesel Multiple Unit Depot
ALERTNJ,Allerton Junction
ALERTN4,Allerton Signal AN4
ALLGARC,Allington ARC Siding
ALLGREV,Allington ARC Siding Reverse
ALNGEJN,Allington East Junction
ALLGFHH,Allington Hanson Aggregates
ALNGNJN,Allington North Junction
ALNGJN,Allington West Junction formerly Allington Junction
ALLOA,Alloa
ALLOALP,Alloa Loop
ALSCGF,Allscott Ground Frame
ALSCTSW,Allscott Sidings
ALSCUPT,Allscott Upton Magna
ALNESS,Alness
ALNMOTH,Alnmouth
ALNMILL,Alnmouth Little Mill Level Crossing
ALRSFRD,Alresford
ALRESFD,Alresford (Essex)
ALRSBUS,Alresford Swan (by bus)
ALRWAS,Alrewas Level Crossing
ALSAGER,Alsager
ALSAEJN,Alsager East Junction
ALSAUDG,Alsager Up & Down Goods Loop
ZZTYALS,Alston
ALSTONS,Alstone Carriage Holding Sidings
ALTHORN,Althorne
ALTPE,Althorpe
ALTPKC,Althorpe Keadby Canalsee also Keadby Canal
ALTNBRC,Altnabreac
ALTNCCE,Altnabreac Civil Engineer's Sidings
ALTFTS,Altofts
ALTFTJN,Altofts Junction
ALTON,Alton
ALTOBUS,Alton High Street (by bus)
ALTT,Alton Towers
ALTRNHM,Altrincham
CATZ035,Altrincham For Old Trafford
ALTRMET,Altrincham Metrolink
ALUMBAY,Alum Bay
ALVCHRC,Alvechurch
ALVES,Alves Junction
AMBERGT,Ambergate
AMBERGJ,Ambergate Junction
AMBEWIN,Ambergate Wingfield
AMBRIEU,Amberieu (France)
AMBLYSB,Amberley Signal Box
AMERSHM,Amersham
AMLTS34,Amersham London Transport Signal JW34
AMERMWD,Amersham Mantles Wood
AMIENS,Amiens
AMNGTNJ,Amington Junction
AMNG294,Amington Junction Signal NL1294
AMNG487,Amington Junction Signal NL3487
AMNG490,Amington Junction Signal NL3490
AMNG485,Amington Junction Signal NL5485
AMNG488,Amington Junction Signal NL5488
AMNG459,Amington Junction Signal NL9459
AMNG462,Amington Junction Signal NL9462
AMLWCH,Amlwch
AMLWOCT,Amlwch Associated Octel Siding
AMMANFD,Ammanford
CROY03,Ampere Way Tram
AMPFLD,Ampfield School
AMPRESH,Ampress Halt
AMPTNLS,Ampthill Tunnels
AMSTDAM,Amsterdam Centraal Station
AMSTSCH,Amsterdam Schiphol
ANCASTR,Ancaster
ANCAHON,Ancaster Honington
ANDRSTN,Anderston
ANDOVER,Andover
ANDOKMR,Andover Kemira Sidings
ANDOLSB,Andover Ludgershall Branch Stop Board
ANDO202,Andover Shunt Signal BE5202
ANDO8,Andover Signal YWF8
ANDOYD,Andover Yard
ANERLEY,Anerley
ANGELRD,Angel Road
ANGRSTJ,Angerstein Junction
ANGRSTB,Angerstein Stop Board
ANGRSTW,Angerstein Wharf
BRONLPT,Angerstein Wharf Bardon
ANGRODB,Angerstein Wharf DB Cargo Norris
ANGRFHH,Angerstein Wharf Freightliner Heavy Haul
ANGRGBR,Angerstein Wharf GB Railfreight
ANGRNOR,Angerstein Wharf Norris
ANGRTAR,Angerstein Wharf Tarmac
ANGLSDG,Anglesea Sidings
ANGMRNG,Angmering
ANGMGF,Angmering Ground Frame
ANGOLEM,Angouleme
ANNAN,Annan
ANNADRS,Annan Down Refuge Siding
ANAT,Annat
ANNBANK,Annbank
ANSL,Anniesland
ANSL3,Anniesland (Platform 3)
ANSDELL,Ansdell & Fairhaven
ANSTYXR,Ansty Cross Roads
CATZANM,Antrim
APERLYB,Apperley Bridge
APERLYJ,Apperley Junction
APBY,Appleby
APBYNE,Appleby North East Sidings
APPLDRE,Appledore Signal Box
APPLEFD,Appleford
APPLEFX,Appleford Level Crossing
APPLEFS,Appleford Sidings
APPLADV,Appleford Sidings Advenza Freight
APPLFHH,Appleford Sidings Freightliner Heavy Haul
APPLEGB,Appleford Sidings GB Railfreight
APLHRSJ,Applehurst Junction
APLYBDG,Appley Bridge
APLYBGW,Appley Bridge Wimpey
APSLEY,Apsley
ARBROTH,Arbroath
ARBRCVR,Arbroath Crossover
ARBRUNS,Arbroath Up North Siding
ARBRURS,Arbroath Up Relief Siding
ARBRUSS,Arbroath Up South Siding
ARCLJN,Archcliffe Junction
ARCHCLJ,Archcliffe Junction Signal Box
ARCQGBF,Arcow Quarry GB Railfreight
ARCQGF,Arcow Quarry Ground Frame
ARDGAY,Ardgay
ARDGAYC,Ardgay Civil Engineer's Sidings
ARDGAGF,Ardgay Ground Frame
ARDNGLY,Ardingly
ARDNFHH,Ardingly Hanson
ARDNGLP,Ardingly Loop
ARDEGH,Ardleigh
ARDLUI,Ardlui
ARDLUCE,Ardlui Civil Engineer
ARDLGF,Ardlui Ground Frame
CATZ,Ardrahan [Ireland]
ARDRSDS,Ardrossan Electric Multiple Unit Sidings
ARDRSHB,Ardrossan Harbour
ARDRSSB,Ardrossan South Beach
ARDRSTN,Ardrossan Town
ARDWKEJ,Ardwick East Junction
ARDWKEY,Ardwick East Yard
ARDWCKJ,Ardwick Junction
ARDW3TS,Ardwick No 3 Traffic Sidings
ARDWTMD,Ardwick Traction Maintenance Depot
ARDWCK,Ardwick [unknown feature]
ARDWCKY,Ardwick Yard
CROY04,Arena Tram
ARGYLST,Argyle Street
ARISAIG,Arisaig
ARISCE,Arisaig Civil Engineer
ARKLSTE,Arkleston East
ARKLSTJ,Arkleston Junction
ARKL021,Arkleston Signal GP6021
ARKL023,Arkleston Signal GP6023
ARKL025,Arkleston Signal GP6025
ARKLSTW,Arkleston West
ARKW,Arklow
ARKSEYL,Arksey Loop
ARKS814,Arksey Signal D814
ARKS815,Arksey Signal D815
ARLSEY,Arlesey
ARLSCAD,Arlesey Cadwell
ARLEY,Arley
ARLON,Arlon
ARMDALE,Armadale
ARMADLE,Armadale via Mallaig Ship
ARMTHWT,Armathwaite
ARMITAG,Armitage Junction
ARMLJCN,Armley Junction
ARNSIDE,Arnside
ARPLYFA,Arpley Fuelling Apron
ARPLHOL,Arpley (Hole)
ARPLEYJ,Arpley Junction
ARPNRD,"Arpley Nacco Roads 8, 9 & 10"
ARPLEYS,Arpley Sidings
ARPLSHS,Arpley Sidings Head Shunt
ARRAM,Arram
ARAS,Arras (France)
ARCHRAT,Arrochar & Tarbet
ARCHRCE,Arrochar & Tarbet Civil Engineer
