AACHEN,Aachen
BRIGICI,Briggs ICI Sidings
BRIGEWS,Briggs Sidings English Welsh & Scottish Railway
BRIGSSC,Briggs Sidings Steetley Company
BRHOUSE,Brighouse
BRGHBAL,Brighton Ballast
BRGHDNK,Brighton Down Neck Siding
BRGHTTY,Brighton Down Siding
BRGHEDS,Brighton Engineers Depot Sidings
BRGHLHS,Brighton Loco Holding Sidings
BRGHBUS,Brighton London Road (Ditchling Rise)
BRGHMHS,Brighton Montpelier Carriage Holding Sidings
BRGHMPJ,Brighton Montpelier Junction
BRGHRC,Brighton Reception Road
BRGH249,Brighton Signal T1249
BRGH257,Brighton Signal T1257
BRGH261,Brighton Signal T1261
BRGH277,Brighton Signal T1277
BRGH280,Brighton Signal T1280
BRGHTTY,Brighton Top Yard Storage Sidings
BRGHWS,Brighton Wall Siding
BTSDE,Brightside
BTSDLOP,Brightside Loops
BTSD174,Brightside Loop Signal S174
BTSDN1R,Brightside Number 1 Reception Line
BTSDN2R,Brightside Number 2 Reception Line
BTSDSJN,Brightside Station Junction
BRIMSDN,Brimsdown
BRNDANJ,Brindle Heath Agecroft North Junction
BRNDASJ,Brindle Heath Agecroft South Junction
BRNDEUG,Brindle Heath Down Aggregates Siding GB Railfreight
BRNDEUR,Brindle Heath Eurofreight
BRNDLHJ,Brindle Heath Junction
BRNDLHS,Brindle Heath Loop
BRNDRTS,Brindle Heath Refuse Transfer Station
BRNDFHH,Brindle Heath Refuse Transfer Station Freightliner Heavy Haul
BRNDLUS,Brindle Heath Up Sidings
BRINKLW,Brinklow
BRINKLP,Brinklow Loop
BRNGTN,Brinnington
BRNGTNJ,Brinnington Junction
BRSTLBH,Bristol Barton Hill DB Schenker Bristol Barton Hill DB Cargo
BRSTBRT,Bristol Barton Hill Freightliner Heavy Haul
BRSTLCW,Bristol Barton Hill Wagon Repair Depot
BRSS175,Bristol Bath Goods Signal B175
BRSS924,Bristol Bath Goods Signal BL1924
BATHRD,Bristol Bath Road Traction Maintenance Depot
BRSS356,Bristol Clifton Down Signal B356
BRSTEDT,Bristol East Depot Down Goods Loop
BRSTLED,Bristol East Depot EWS
BRSTEDC,Bristol East Depot Regional Civil Engineer
BRSTLEJ,Bristol East Junction
BRSTFLT,Bristol Freightliner Terminal
BRSTHLS,Bristol High Level Siding
BRSTLKR,Bristol Kingsland Road
BRSTKFL,Bristol Kingsland Road Freightliner Heavy Haul
BRSTSTE,Bristol Kingsland Road Signalling & Telecommunications Engineer's Sidings
BRSTMJD,Bristol Marsh Junction Depot
BRSTMJG,Bristol Marsh Junction Up Ground Frame
BRSTPWY,Bristol Parkway
BRSTPGW,Bristol Parkway Depot GWR
BRSTRMT,Bristol Parkway Royal Mail Terminal
BRSTPUS,Bristol Parkway Royal Mail Terminal Up Spur
BRST514,Bristol Parkway Signal BL1514
BRST569,Bristol Parkway Signal BL1569
BRST579,Bristol Parkway Signal BL6569
BRST586,Bristol Parkway Signal BL6586
BRST602,Bristol Parkway Signal BL6602
BRSTPWG,Bristol Parkway Up Goods Loop
BRSTPUR,Bristol Parkway Up Reception
BRST536,Bristol Patchway Signal BL1536
BRST538,Bristol Patchway Signal BL1538
BRSS154,Bristol Signal B154
BRSS243,Bristol Signal B243
BRSS248,Bristol Signal B248
BRSS254,Bristol Signal B254
BRSS318,Bristol Signal B318
BRSS320,Bristol Signal B320
BRSS343,Bristol Signal B343
BRSS389,Bristol Signal B389
BRSS442,Bristol Signal B442
BRST820,Bristol Signal BL1820
BRST052,Bristol Signal BL2052
BRSS106,Bristol Signal DM106
BRSTPUS,Bristol Stoke Gifford Spur
BRSTLTM,Bristol Temple Meads
BRSTMHL,Bristol Temple Meads High Level Siding
BRSTOUT,Bristol Temple Meads In/Out Road 553
BRSTSPU,Bristol Temple Meads Loco Spur
BRSTPL2,Bristol Temple Meads Platform 2 Motorail
BRSS242,Bristol Temple Meads Signal B242
BRSS423,Bristol Temple Meads Signal B423
BRSS533,Bristol Temple Meads Signal B533
BRSTSTA,Bristol Temple Meads Station Approach
BRSTLWD,Bristol West Depot
BRSTWCS,Bristol West Depot Carriage Holding Sidings
BRSTLWJ,Bristol West Junction
BRST568,Bristol Yate Signal BL6568
BRITHDR,Brithdir
BRITFRY,Briton Ferry
BRITFEE,Briton Ferry East Junction
BRITGL,Briton Ferry Goods Loop
BRITUFJ,Briton Ferry Up Freight Loop Junction
BRITFWJ,Briton Ferry West Junction
BRITONF,Briton Ferry Yard DB Schenker Briton Ferry Yard DB Cargo
BRTNFRM,Brittanic Farm
BRXHMTS,Brixham Town Square
BRIXTON,Brixton
BRIXJN,Brixton Junction
BRBM,Broadbottom
BRDCLST,Broad Clyst
BROADGR,Broad Green
BROAWHS,Broad Green WH Smith
BROHLME,Broadholme
CATZBWY,Broadway (Worcestershire)
BKNHDS,Brockenhurst Down Siding
BKNH16,Brockenhurst Signal BH16
BKNH62,Brockenhurst Signal BH62
BROCSB,Brockenhurst Signal Box
BKNHUPS,Brockenhurst Up Sidings
BKHLS,Brockholes
BKBY,Brocklesby Junction
BROCKLY,Brockley
BRWHINS,Brockley Whins
BRWHBEJ,Brockley Whins Boldon East Junction
BRWHBNJ,Brockley Whins Boldon North Junction
BRWHBWJ,Brockley Whins Boldon West Junction
BRWHGLJ,Brockley Whins Green Lane Junction (Public Transport Authority Boundary)
BDICK,Brodick
BRODIE,Brodie
BRMB,Bromborough
BRMBRK,Bromborough Rake
BRFLD,Bromfield
BRBG,Bromford Bridge
BRBGES,Bromford Bridge Esso Siding
BRBGJN,Bromford Bridge Junction
BRBGLP,Bromford Loop
BROMBLT,Bromley By Bow LT
BRMCRSS,Bromley Cross
BROMLYN,Bromley North
BROMLYS,Bromley South
BROM617,Bromley South Signal VS617
BRMSGRV,Bromsgrove
BRMSBUS,Bromsgrove Bus Station
BRMSRMC,Bromsgrove RMC
BRMS463,Bromsgrove Signal G463
BRMSGRS,Bromsgrove South
BRMSSDG,Bromsgrove Tamper Sidings
BRMSGRU,Bromsgrove Unitank
BRMSUGL,Bromsgrove Up Goods Loop
BRMSNCK,Bromsgrove Up Neck
BRBY,Brondesbury
BRBYPK,Brondesbury Park
BROKGTS,Brookgate Sidings
BRKLNDH,Brookland Halt
BRKLNDS,Brooklands
BRKMNPK,Brookmans Park
BRKWDCE,Brookwood Country End
BRKWETC,Brookwood 'ETC'
BRKWDLE,Brookwood London End
BROOME,Broome
BRFT,Broomfleet
BRMHSJN,Broomhill Holehouse Junction
BRMHILL,Broomhill Opencast
BRORA,Brora
BRORACE,Brora Civil Engineer
BRORDLC,Brora Dalchalm Level Crossing
BRORALC,Brora Level Crossing
BROTNCH,Brotton Carlin How Freight Depot
BROTTON,Brotton Freight Depot
BROUGH,Brough
BROUCCL,Brough Crabley Creek Level Crossing
BROUXO,Brough Crossover
BRGLBOC,Broughton Lane BOC
BRGLCAR,Broughton Lane Carbrook [Sheffield Supertram]
BRGLJN,Broughton Lane Junction
BRGLVAL,Broughton Lane Valley Centertainment [Sheffield Supertram]
BRFRY,Broughty Ferry
BROWNCE,Brownhill Civil Engineer's Sidings
BROWDPL,Brownhill Down Passenger Loop
BROWNHJ,Brownhill Junction
BRWNHLS,Brownhills
BRWNASG,Brownhills Anglesea Sidings
BROWUPL,Brownhill Up Passenger Loop
BROXBRN,Broxbourne
BROXCGB,Broxbourne CEGB
BROXDPL,Broxbourne Down Passenger Loop
BROXDSG,Broxbourne Down Tamper Siding
BROXGBF,Broxbourne Down Tamper Siding GB Railfreight
BROXBNJ,Broxbourne Junction
BROXBNR,Broxbourne Reception
BROXS21,Broxbourne Signal BN21
BROXS30,Broxbourne Signal BN30
BROXS12,Broxbourne Signal L1226
BROXS14,Broxbourne Signal L1484
BROXS31,Broxbourne Signal L5315/BN31
BROXS53,Broxbourne Signal L5331
BRUCGRV,Bruce Grove
BRUNDAL,Brundall
BRUNDLG,Brundall Gardens
BRUSTAN,Brunstane
BNWK,Brunswick
BRUTON,Bruton
BRUXFOR,Bruxelles Forest Depot
BRUXMID,Bruxelles Midi
BRYN,Bryn
BLNNBLP,Brynteg Loading Pad
BUCKNHM,Buckenham
BUCFAST,Buckfastleigh
BUCVBUS,Buckingham Tesco
BCKLXSB,Buckland Crossing Signal Box
BCKJN,Buckland Junction
BCKY,Buckley
BCKLWCS,Buckley Wells Carriage Sidings (East Lancashire Railway)
BUKNAL,Bucknall & Northwood
BKNELL,Bucknell
BUKSHAW,Buckshaw Parkwaysee also Chorley Buckshaw Parkway
BHTN893,Buckshead Tunnel Signal CL5893
BUDE,Bude
BUDESTD,Bude Strand
BUGLE,Bugle
BUGLROC,Bugle Rocks Dries ECC Siding
BLDWAS,Buildwas
BUILTHR,Builth Road
BULTWLS,Builth Wells Groe 1 Strand
BULWELL,Bulwell
BULWLSJ,Bulwell South Junction
BURES,Bures
BURGESH,Burgess Hill
BGHD,Burghead
BGHDDCL,Burghead DCL Cereals
BURLYIW,Burley In Wharfedale
BRLEYPK,Burley Park
BAGE,Burnage
BDENJT,Burnden Junction
BNSD,Burneside (Cumbria)
BGLWECC,Burngullow English China Clay
BGLWFHH,Burngullow Freightliner Heavy Haul
BGLWJN,Burngullow Junction
BGLW203,Burngullow Shunt Signal P203
BNHAM,Burnham (Bucks)
BRNAMKT,Burnham Market
BRNMONC,Burnham-On-Crouch
BNHOUSE,Burnhouse
BURNLYB,Burnley Barracks
BURNLYC,Burnley Central
BURNMR,Burnley Manchester Road
BURNTTL,Burnley Towneley Tunnel
BUMOUTH,Burnmouth
BRNNZHS,Burn Naze Holding Sidings
BRNNZPS,Burn Naze ICI Power Station
BRNNICI,Burn Naze ICI Sidings
BRNNVCM,Burn Naze VCM Sidings
BRSDE,Burnside (Strathclyde)
BISLND,Burntisland
BISLNDJ,Burntisland Junction
BUNT,Burnt Tree
BRSCGHB,Burscough Bridge
BRSCGHJ,Burscough Junction
BURSLDN,Bursledon
BUURSTN,Burston
BRTJYC,Burton Joyce
BURTNOT,Burton-On-Trent
BURTBCJ,Burton-On-Trent Birmingham Curve Junction
BURTBJN,Burton-On-Trent Branston Junction
BURTNRP,Burton-On-Trent East Loop Repair Point
BURTNEY,Burton-On-Trent East Yard Loop
BURT97,Burton-On-Trent Ground Position Light Signal DY97
BURT141,Burton-On-Trent Ground Position Light Signal DY141
BURT146,Burton-On-Trent Ground Position Light Signal DY146
BURT151,Burton-On-Trent Ground Position Light Signal DY151
BURT163,Burton-On-Trent Ground Position Light Signal DY163
BURT165,Burton-On-Trent Ground Position Light Signal DY165
BURT172,Burton-On-Trent Ground Position Light Signal DY172
BURT175,Burton-On-Trent Ground Position Light Signal DY175
BURHGBJ,Burton-On-Trent Horninglow Bridge Junction
BURTNLJ,Burton-On-Trent Leicester Junction
BURTNMS,Burton-On-Trent Mosley Street
BURTTML,Burton-On-Trent Road And Rail Terminal
BURTNMD,Burton-On-Trent Wagon Repair Depot
BURTNWY,Burton-On-Trent West Yard
BURTNWG,Burton-On-Trent West Yard GB Railfreight
BURTNMH,Burton-On-Trent West Yard Maurice H
BURTWJN,Burton-On-Trent Wetmore Junction
BURTWS,Burton-On-Trent Wetmore Sidings
BRTPNT,Burton Point
BURY,Bury
BURYELR,Bury East Lancashire Railway
BURYCRS,Bury Electric Multiple Unit Depot
BSTEDMS,Bury St Edmunds
BSTEDCM,Bury St Edmunds Carriage Maintenance Depot
BSTEDGL,Bury St Edmunds Down Goods Loop
BSTETAR,Bury St Edmunds Freight Depot Tarmac
BSTEFHH,Bury St Edmunds Freightliner Heavy Haul
BSTEDMR,Bury St Edmunds Reception
BSTED19,Bury St Edmunds Signal BY19
BYSTJN,Bury Street Junction
BUSBY,Busby
BUSBYJ,Busby Junction
BSBYJN,Bushbury Junction
BSBYJDG,Bushbury Junction Down Goods Loop
BSBYJ95,Bushbury Junction Signal SB4695
BUSHEY,Bushey
BUSHYDC,Bushey DC lines
BHILLPK,Bush Hill Park
BUSTARZ,Busto Arsizio
BTLRSLA,Butlers Lane
BUTTMRC,Butterley Midland Railway Centre
BUTRWLJ,Butterwell Junction
BUTR160,Butterwell Junction Signal M160
BUTROCT,Butterwell Opencast
BUTRDCR,Butterwell Opencast Devon & Cornwall Railways
BUTRFHH,Butterwell Opencast Freightliner Heavy Haul
BUTRGBF,Butterwell Opencast GB Railfreight
BUXTON,Buxton
BUXTNHS,Buxton Holding Sidings
BUXTMP,Buxton (Market Place)
BUXTNO1,Buxton No 1 Signal Box
BUXTDMU,Buxton Traction Maintenance Depot
BUXTURS,Buxton Up Relief Sidings
BYFLANH,Byfleet & New Haw
BYFLETJ,Byfleet Junction
BYNEA,Bynea
BYREHJ,Byrehill Junction
CDDR,Cadder
CDDRCES,Cadder Civil Engineer's Sidings
CDDRADL,Cadder Down Arrival/Departure Line
CDDRDPL,Cadder Down Passenger Loop
CDDREDL,Cadder East Departure Line
CDDRHST,Cadder HST Depot
CADDER,Cadder Loops/Cadder Yard DRS
CDDRUPL,Cadder Up Passenger Loop
CDDRWDL,Cadder West Departure Line
CADOXTN,Cadoxton
CADOEWS,Cadoxton English Welsh & Scottish Railway
CADOB9,Cadoxton Signal B9
CDWL718,Cadwell Signal K718
CAEU,Caerau
CAEUPK,Caerau Park
CAEUSQU,Caerau Square
CAERGWL,Caergwrle
CAEFBST,Caernarfon Bus Station
CRPHLY,Caerphilly
CARSWS,Caersws
CARWENT,Caerwent
CAEWBJ,Caerwent Branch Junction
CATZCAH,Cahir
CNRYNP,Cairnryan Loch Ryan Port
CALACA,Calais Caffiers
CALACE,Calais Coquelles Eurotunnel
CALAEES,Calais Eurotunnel Emergency Siding
CALAFCR,Calais Frethun Colas Rail
CALAFD,Calais Frethun Depot
CALAFGV,Calais Frethun Gare Voyageurs
CALAFGB,Calais Frethun GB Railfreight
CALAFL,Calais Frethun (Local)
CALAFT,Calais Frethun (Tunnel)
CALAISM,Calais Maritime
CALATSH,Calais Tunnel South Holding Sidings
CALAVGV,Calais Ville Gare Voyageurs
CLDBDGJ,Calder Bridge Junction
CLDRCRX,Caldercruix
CLDRCXO,Caldercruix Crossover
CDCOT,Caldicot
CDCOCGF,Caldicot Level Crossing Ground Frame
CALDNLB,Caldon Low (Ballast)
CALDONL,Caldon Low Quarry
CALDONQ,Caldon Quarry
CLDNNRB,Caledonian Road & Barnsbury
CALLNRD,Callington New Road Bus Stop
CALNSTR,Calne Strand
CALSTCK,Calstock
CALVERT,Calvert
CALVADV,Calvert Advenza Freight
CALVGBR,Calvert GB Railfreight
CALVNGF,Calvert North Ground Frame
CLVTBC,Calverton Colliery
CALVFHH,Calvert Shanks & McEwan Freightliner
CALVTDC,Calvert Waste Terminal Devon & Cornwall Railways
CMBL4,Camberley Shunt Signal F4
CBORNE,Camborne
CBORRXO,Camborne Roskear Junction
CBORSR6,Camborne Roskear Signal R6
CBORR10,Camborne Roskear Signal R10
CBRIJN,Cambria Junction
CBRI675,Cambria Junction Signal VS675
CBRI678,Cambria Junction Signal VS678
CBRI679,Cambria Junction Signal VS679
CAMBDGE,Cambridge
CAMVBUS,Cambridge Bus Station
CAMBDCS,Cambridge Carriage Servicing Depot
CAMBCOS,Cambridge Charrington's Oil Sidings
CAMBCE,Cambridge Civil Engineer's Sidings
CAMBCCD,Cambridge Coal Concentration Depot
CAMBCGF,Cambridge Coalfields
CAMBECD,Cambridge Electrification Construction Depot
CAMHTH,Cambridge Heath
CAMBDHS,Cambridge Loco Holding Siding
CAMBDNJ,Cambridge North Junction/Mill Road Junction
CAMBNTH,Cambridge North [station]
CAMBREC,Cambridge Reception Roads
CAMB659,Cambridge Shunt Signal CA659
CAMBCSN,Cambridge Sidings North
CAMBCSS,Cambridge Sidings South
CAMB147,Cambridge Signal CA147
CAMB149,Cambridge Signal CA149
CAMB163,Cambridge Signal CA163
CAMB164,Cambridge Signal CA164
CAMB177,Cambridge Signal CA177
CAMB180,Cambridge Signal CA180
CAMB540,Cambridge Signal CA540
CAMB647,Cambridge Signal CA647
CAMB708,Cambridge Signal CA708
CAMB722,Cambridge Signal CA722
CAMB732,Cambridge Signal CA732
CAMB751,Cambridge Signal CA751
CAMB849,Cambridge Signal CA849
CAMB851,Cambridge Signal CA851
CAMB853,Cambridge Signal CA853
CAMB855,Cambridge Signal CA855
CAMBSTE,Cambridge Signalling & Telecommunications Engineer's Sidings
CAMBSTH,Cambridge South
CAMBDSJ,Cambridge South Junction
CAMB835,Cambridge South Signal CA835
CAMB837,Cambridge South Signal CA837
CAMBGTC,Cambridge Terminal Complex English Welsh & Scottish Railway
CAMBTGB,Cambridge Terminal Complex GB Railfreight
CAMBTRS,Cambridge Thameslink Reception Sidings
CAMBTRD,Cambridge Through Road
CAMBTMD,Cambridge Traction & Rolling Stock Maintenance Depot
CAMBUDG,Cambridge Up & Down Goods
CMUS,Cambus
CMUSDCL,Cambus DCL Cereals
CMBSLNG,Cambuslang
CMUSLP,Cambus Loop
CMDNCSD,Camden Carriage Servicing Depot
CMDNCWM,Camden Carriage Washing Machine
CMDNJN,Camden Junction
CMDNDTS,Camden Junction Down Through Siding
CMDN801,Camden Junction Signal WM801
CMDNRD,Camden Road
CMDNRCJ,Camden Road Central Junction
CMDNREJ,Camden Road East Junction
CMDNRIJ,Camden Road Incline Junction
CMDNRDJ,Camden Road Junction
CMDN202,Camden Road Junction Signal NL1202
CMND610,Camden Signal 610
CMDN052,Camden Signal NL1052
CMDN200,Camden Signal NL1200
CMDNSTH,Camden South Junction
CAMELON,Camelon
CMRNBDG,Cameron Bridge
CMRNDCL,Cameron Bridge UMGD
CAMPBLT,Campbeltown
CMTN,Campbeltown (Kintyre)
CMPRDNJ,Camperdown Junction
CAMPH,Camp Hill
CNDAW,Canada Water
CNDAXO,Canada Water Crossover
CANAWLT,Canada Water LT
CANALJ,Canal Junction (New Cross)
CANWHRF,Canary Wharf Crossrail
CANWHRF,Canary Wharf LT
CANKLOW,Canklow Loop
CANKL55,Canklow Signal S1055
CANKL59,Canklow Signal S1059
CANLEY,Canley
CANNA,Canna
CNTN,Canning Town
CNCK,Cannock
CNCKTER,Cannock Freightliner Terminal
CNCKMGF,Cannock Middle Ground Frame
CNCKMOC,Cannock Middle Open Cast
CANONST,Cannon Street
CANOBAL,Cannon Street Ballast
CATZ062,Cannon Street For The Games
CANOSDG,Cannon Street Siding
CANO166,Cannon Street Signal TL1066
CNNB,Canonbury
CNNBYEJ,Canonbury East Junction
CNNBELL,Canonbury East London Line
CNNBYWJ,Canonbury West Junction
CNTBEES,Canterbury East Engineer's Siding
CANTBYE,Canterbury East Signal Box
CNTBE5,Canterbury East Signal CB5
CNTBE24,Canterbury East Signal CB24
CBE4415,Canterbury East Signal EK4415
CANRDJ,Canterbury Road Junction
CNTBWGL,Canterbury West Down Goods Loop
CNTBW1,Canterbury West Shunt Signal EDH1
CNTBW25,Canterbury West Shunt Signal EDH25
CANTBYW,Canterbury West Signal Box
CNTBWGL,Canterbury West Up Siding
CNTLEY,Cantley
CTLYBSC,Cantley British Sugar
CANTNCS,Canton Carriage Servicing Depot
CANTISK,Canton Isis Link
CANTONS,Canton Sidings
CANTGBR,Canton Sidings GB Railfreight
CANT637,Canton Signal C637
CANT641,Canton Signal C641
CANTCAR,Canton Staff Car
CANTTMD,Canton Traction & Rolling Stock Maintenance Depot
CANTFLT,Canton Traction Maintenance Depot Freightliner
CANVHC,Canvey Haystack Corner
CANVLB,Canvey Leigh Beck
CANVLR,Canvey Link Road And Dinant
CANVWF,Canvey Waterside Farm
CAPLBAN,Capel Bangor
CAPCSBC,Capel Curig Siabod Café
CAPELDR,Capeldrae
CPNHRST,Capenhurst
CARBISB,Carbis Bay
CRCRFTJ,Carcroft Junction
CDND,Cardenden
CARDFBR,Cardiff Bay
CARDBKY,Cardiff Brickyard Siding
CRDFGBF,Cardiff Castle Works GB Railfreight
CARDCAV,Cardiff Celsa
CRDFCEN,Cardiff Central
CRDFBUS,Cardiff Central Bus Station
CARDDKS,Cardiff Docks ABP Non Shipment
CARDCSS,Cardiff Docks Coastal Shipping
CARDFDW,Cardiff Docks Dowlais Wharf
CARDGBR,Cardiff Docks GB Railfreight
CARDGBF,Cardiff Docks Greenergy GB Railfreight
CARDDOC,Cardiff Docks HCB Energy
CARDMIN,Cardiff Docks Minemet
CARDDRG,Cardiff Docks Rail Port GB Railfreight
CARDRFW,Cardiff Docks Ryans Fletchers Wharf
CARDRYN,Cardiff Docks Ryans Sidings
CARDWA,Cardiff Dock Ward Recycling
CRDFE,Cardiff East
CARDFEM,Cardiff East Moor Works
CARDFFD,Cardiff Freight Depot
CRDFAIR,Cardiff International Airport
CARDFMS,Cardiff Marshalling Sidings
CRDFOLM,Cardiff Olympic Games
CARDFQS,Cardiff Queen Street
CRDFRBJ,Cardiff Radyr Branch Junction
CARDRIV,Cardiff Riverside
CARDFRS,Cardiff Rod Mill Allied Steel & Wire
CRDFSTD,Cardiff St Davids House
CARD305,Cardiff Signal C305
CARD410,Cardiff Signal C410
CARD430,Cardiff Signal C430
CARD510,Cardiff Signal C510
CARD036,Cardiff Signal CF2036
CARD328,Cardiff Signal CF2328
CARD342,Cardiff Signal CF2342
CARD540,Cardiff Signal CF2540
CARD048,Cardiff Signal CF7048
CARD208,Cardiff Signal CF7208
CARDTVS,Cardiff Taff Vale Sidings
CARDFTA,Cardiff Tidal Advenza Freight
CARDFHH,Cardiff Tidal Freightliner Heavy Haul
CARDRP,Cardiff Tidal Rail Port
CARDFTS,Cardiff Tidal Terminal Complex
CARDUGL,Cardiff Up Goods Loop
CRDFW,Cardiff West
CARGFS,Cardigan Finchs Square
CDNL,Cardonald
CDNLJN,Cardonald Junction
CDNLNJN,Cardonald North Junction
CDNL567,Cardonald Signal G567
CDNL576,Cardonald Signal G576
CDRS,Cardross
CARFIN,Carfin
CGFR984,Cargo Fleet Road Signal MW6984
CGFR993,Cargo Fleet Road Signal MW6993
CARK,Cark & Cartmel
CARLILE,Carlisle
CARL998,Carlisle A Sidings Virgin Trains
CARLBJN,Carlisle Bog Junction
CARLCLR,Carlisle Brunthill Colas Rail
CARLBRU,Carlisle Brunthill Freightliner Heavy Haul
CARLCJN,Carlisle Caldew Junction
CARLEXS,Carlisle Exchange Sidings
CARLCWL,Carlisle Harker Kingstown Whittals Warehousing
CARLHWS,Carlisle High Wapping Sidings
CARLHFH,Carlisle High Wapping Sidings Freightliner Heavy Haul
CARLBGS,Carlisle Kingmoor B Group Siding
CARLLR,Carlisle London Road
CARLFD,Carlisle London Road Freight Depot
CARLWAT,Carlisle London Road J & W Watt
CARLLRJ,Carlisle London Road Junction
CARLILY,Carlisle New Yard
CARLYDR,Carlisle New Yard DRS
CARLDRS,Carlisle No 1 Down Relief Siding
CARL999,Carlisle North Eastern Neck Virgin Trains
CARLRSJ,Carlisle Rome Street Junction
CARLNEC,Carlisle Shunt Neck
CARL291,Carlisle Signal CE291
CARL335,Carlisle Signal CE335
CARL404,Carlisle Signal CE404
CARL437,Carlisle Signal CE437
CARL464,Carlisle Signal CE464
CARL465,Carlisle Signal CE465
CARL467,Carlisle Signal CE467
CARLLHS,Carlisle Station Loco Holding Siding
CARLUBJ,Carlisle Upperby Bridge Junction
CARLUES,Carlisle Upperby Civil Engineer's Sidings
CARLAPC,Carlisle Upperby English Welsh & Scottish Railway
CARLUJN,Carlisle Upperby Junction
CARLUJG,Carlisle Upperby Junction Down Goods Loop
CARLUMD,Carlisle Upperby Maintenance Depot
CARLURS,Carlisle Upperby Relief Siding
CARLTMD,Carlisle Upperby Traction Maintenance Depot
CARLLSL,Carlisle Upperby Traction Maintenance Depot Locomotive Services Limited
CARLUTG,Carlisle Upperby Up Through Goods Line
CARL997,Carlisle Wall Siding Virgin Trains
CARLAME,Carlisle Yard AMEC/Colas
CARLYDL,Carlisle Yard Locomotive Holding Siding
CATZCAW,Carlow
CRTN,Carlton
CRLTOTL,Carlton On Trent Loop
CTRDJN,Carlton Road Junction
CRLK,Carluke
CMTHN,Carmarthen
CMTHNBG,Carmarthen Bridge
CMTHNFD,Carmarthen Freight Depot
CMTHNJ,Carmarthen Junction
CMTHS22,Carmarthen Junction Signal CJ22
CMTHNKS,Carmarthen Kemira Siding
CMTHNSD,Carmarthen Sidings
CMTHWAR,Carmarthen Warehousing Up Siding
CRMNDNJ,Carmondean Junction
CRMN579,Carmondean Junction Signal EN579
CRMN581,Carmondean Junction Signal EN581
CAARMNT,Carmont
CRMRSEJ,Carmuirs East Junction
CRMRSWJ,Carmuirs West Junction
CARMYLE,Carmyle
CBREA,Carn Brea
CRNF,Carnforth
CRNFCES,Carnforth Bottom End Civil Engineer's Siding
CRNFRCS,Carnforth Carriage Sidings
CRNFUGL,Carnforth Down & Up Goods Loop
CRNFDSG,Carnforth Down Sidings
CRNFREJ,Carnforth East Junction
CRNFFMJ,Carnforth Furness & Midland Junction
CRNFRHS,Carnforth Holding Sidings
CRNFNJN,Carnforth North Junction
CRNFPD,Carnforth Plant Siding WCA
CRNFSJN,Carnforth South Junction
CRNFSTM,Carnforth Steamtown
CRNFSTS,Carnforth Steamtown South
CRNFRTC,Carnforth Terminal Complex
CRNFUPL,Carnforth Up Passenger Loop
CRNFVQ,Carnforth Virtual Quarry
CNST,Carnoustie
CNSTDS,Carnoustie Down Siding
CNTY,Carntyne
CRPNDPK,Carpenders Park
CARPNRC,Carpenters Road Curve
CARPSJN,Carpenters Road South Junction
CARPWJN,Carpenters Road West Junction
CARRBDG,Carrbridge
CARRCE,Carrbridge Siding
CATZCKA,Carrick-On-Shannon
CARICOS,Carrick-On-Suir
CRONBDE,Carronbridge
CRSHLTN,Carshalton
CRSHLTB,Carshalton Beeches
CRSTRS,Carstairs
CRSTCE,Carstairs Civil Engineer
CRSTDPL,Carstairs Down Passenger Loop
CRSTDS,Carstairs Down Sidings
CRSTFHH,Carstairs Down Sidings Freightliner Heavy Haul
CRSTRSE,Carstairs East Junction
CRSTENG,Carstairs Engine Siding
CRSTMEE,Carstairs Mechanical & Electrical Engineer
CRSTRSN,Carstairs North Junction
CRST420,Carstairs Signal GMC420
CRST405,Carstairs Signal MC405
CRST408,Carstairs Signal MC408
CRST410,Carstairs Signal MC410
CRST419,Carstairs Signal MC419
CRST421,Carstairs Signal MC421
CRST422,Carstairs Signal MC422
CRST423,Carstairs Signal MC423
CRST428,Carstairs Signal MC428
CRST436,Carstairs Signal MC436
CRST437,Carstairs Signal MC437
CRSTRSS,Carstairs South Junction
CRSTUPL,Carstairs Up Passenger Loop
CARTBEE,Carterton Beehive
CRTSDYK,Cartsdyke
CATZCLB,Castlebar
CBARPAR,Castle Bar Park
CSBY,Castlebay via Oban Ship
CBOMCS,Castle Bromwich Cement Siding
CBOMDS,Castle Bromwich Dunlop Siding
CBOMJAB,Castle Bromwich Jaguar
CBOMJN,Castle Bromwich Junction
CBOMMEB,Castle Bromwich MEB Siding
CSCR,Castle Caereinion
CCARY,Castle Cary
CCARCE,Castle Cary Civil Engineer's Sidings
CCAR782,Castle Cary Signal W782
CCARSID,Castle Cary Up Sidings
CSCOMBE,Castle Combe Village Centre
CATZCCN,Castleconnell
CDON,Castle Donington
CDONEDC,Castle Donington East Midlands Distribution Centre
CDONGWJ,Castle Donington Gateway West Junction
CDON455,Castle Donington Signal SS4455
CFLDJN,Castlefield Junction
CASTLFD,Castleford
CASTAB,Castleford Allerton Bywater Loading Point
CAS5209,Castleford Signal CD5209
CATZCSE,Castlerea
CSTL,Castleton
CSTLBS,Castleton Bus Station
CSTLUSE,Castleton Continuous Welded Rail Depot
CSTLDGL,Castleton Down Goods Line
CSTLDSE,Castleton Down Sidings
CSTLTEJ,Castleton East Junction
CSTLHGF,Castleton Heywood Ground Frame
CTNM,Castleton Moor
CSTLTNJ,Castleton North Junction
CSTL30,Castleton Signal CE30
